,item_count,bin_capacity,weight_range,instance,bin_count,execution_time
N2C3W4_R.txt,2,3,4,17,59,0.10180000003856549
N2C3W4_S.txt,2,3,4,18,57,0.09979999998677158
N2C3W4_T.txt,2,3,4,19,62,0.10270000001355584
N3C1W1_A.txt,3,1,1,0,133,0.19829999996545666
N3C1W1_B.txt,3,1,1,1,140,0.19859999997606792
N3C1W1_C.txt,3,1,1,2,126,0.19730000002482484
N3C1W1_D.txt,3,1,1,3,136,0.19659999998111743
N3C1W1_E.txt,3,1,1,4,124,0.19570000000612708
N3C1W1_F.txt,3,1,1,5,135,0.19400000002178786
N3C1W1_G.txt,3,1,1,6,138,0.20090000003847308
N3C1W1_H.txt,3,1,1,7,129,0.49869999998009007
N3C1W1_I.txt,3,1,1,8,128,0.5163000000152351
N3C1W1_J.txt,3,1,1,9,138,0.44139999999970314
N3C1W1_K.txt,3,1,1,10,128,0.2088999999614316
N3C1W1_L.txt,3,1,1,11,126,0.5208999999695152
N3C1W1_M.txt,3,1,1,12,134,0.209600000005139
N3C1W1_N.txt,3,1,1,13,118,0.2824000000032356
N3C1W1_O.txt,3,1,1,14,127,0.20680000000083965
N3C1W1_P.txt,3,1,1,15,136,0.212200000021312
N3C1W1_Q.txt,3,1,1,16,121,0.21250000003192326
N3C1W1_R.txt,3,1,1,17,128,0.21259999999756474
N3C1W1_S.txt,3,1,1,18,126,0.21119999996699335
N3C1W1_T.txt,3,1,1,19,128,0.23559999999633874
N3C1W2_A.txt,3,1,2,0,155,0.22230000001854933
N3C1W2_B.txt,3,1,2,1,155,0.22579999995286926
N3C1W2_C.txt,3,1,2,2,156,0.22569999998722778
N3C1W2_D.txt,3,1,2,3,164,0.22589999997535415
N3C1W2_E.txt,3,1,2,4,160,0.22029999996675542
N3C1W2_F.txt,3,1,2,5,153,0.22009999997862906
N3C1W2_G.txt,3,1,2,6,159,0.2264000000309352
N3C1W2_H.txt,3,1,2,7,156,0.22150000000920045
N3C1W2_I.txt,3,1,2,8,157,0.22140000004355898
N3C1W2_J.txt,3,1,2,9,154,0.4078000000049542
N3C1W2_K.txt,3,1,2,10,148,0.2647000000024491
N3C1W2_L.txt,3,1,2,11,162,0.23960000004308313
N3C1W2_M.txt,3,1,2,12,162,0.23220000002766028
N3C1W2_N.txt,3,1,2,13,165,0.22309999997105479
N3C1W2_O.txt,3,1,2,14,156,0.22389999998040366
N3C1W2_P.txt,3,1,2,15,151,0.2193000000261236
N3C1W2_Q.txt,3,1,2,16,161,0.22139999998671556
N3C1W2_R.txt,3,1,2,17,150,0.262200000008761
N3C1W2_S.txt,3,1,2,18,160,0.5340000000160217
N3C1W2_T.txt,3,1,2,19,164,0.2192000000036387
N3C1W4_A.txt,3,1,4,0,174,0.5090000000222972
N3C1W4_B.txt,3,1,4,1,174,0.2205000000117252
N3C1W4_C.txt,3,1,4,2,169,0.22130000002107408
N3C1W4_D.txt,3,1,4,3,171,0.21739999999681459
N3C1W4_E.txt,3,1,4,4,166,0.21949999995740654
N3C1W4_F.txt,3,1,4,5,166,0.21839999999428983
N3C1W4_G.txt,3,1,4,6,173,0.2556999999683285
N3C1W4_H.txt,3,1,4,7,167,0.21739999999681459
N3C1W4_I.txt,3,1,4,8,164,0.22339999998166604
N3C1W4_J.txt,3,1,4,9,170,0.21980000002486122
N3C1W4_K.txt,3,1,4,10,172,0.22979999999961365
N3C1W4_L.txt,3,1,4,11,172,0.22079999996549304
N3C1W4_M.txt,3,1,4,12,173,0.22189999998545318
N3C1W4_N.txt,3,1,4,13,172,0.2242999999566564
N3C1W4_O.txt,3,1,4,14,168,0.26299999996126644
N3C1W4_P.txt,3,1,4,15,169,0.2230000000054133
N3C1W4_Q.txt,3,1,4,16,172,0.2290000000471082
N3C1W4_R.txt,3,1,4,17,172,0.2255999999647429
N3C1W4_S.txt,3,1,4,18,170,0.22469999998975254
N3C1W4_T.txt,3,1,4,19,169,0.22849999999152715
N3C2W1_A.txt,3,2,1,0,121,0.21050000003697278
N3C2W1_B.txt,3,2,1,1,113,0.34360000000788204
N3C2W1_C.txt,3,2,1,2,116,0.20989999995890685
N3C2W1_D.txt,3,2,1,3,116,0.21499999996876795
N3C2W1_E.txt,3,2,1,4,117,0.24559999997109117
N3C2W1_F.txt,3,2,1,5,120,0.2465999999685664
N3C2W1_G.txt,3,2,1,6,121,0.20950000003949754
N3C2W1_H.txt,3,2,1,7,116,0.215500000024349
N3C2W1_I.txt,3,2,1,8,117,0.2134999999725551
N3C2W1_J.txt,3,2,1,9,119,0.20979999999326537
N3C2W1_K.txt,3,2,1,10,104,0.2064999999902284
N3C2W1_L.txt,3,2,1,11,123,0.2159999999662432
N3C2W1_M.txt,3,2,1,12,119,0.21330000004127214
N3C2W1_N.txt,3,2,1,13,122,0.21099999997886698
N3C2W1_O.txt,3,2,1,14,116,0.21620000001121298
N3C2W1_P.txt,3,2,1,15,121,0.26440000004868125
N3C2W1_Q.txt,3,2,1,16,111,0.2133999999500702
N3C2W1_R.txt,3,2,1,17,115,0.21180000004505928
N3C2W1_S.txt,3,2,1,18,118,0.2168000000324355
N3C2W1_T.txt,3,2,1,19,112,0.21050000003697278
N3C2W2_A.txt,3,2,2,0,143,0.22549999999910142
N3C2W2_B.txt,3,2,2,1,140,0.21759999998494095
N3C2W2_C.txt,3,2,2,2,140,0.218100000040522
N3C2W2_D.txt,3,2,2,3,142,0.3009999999790125
N3C2W2_E.txt,3,2,2,4,146,0.2199000000473461
N3C2W2_F.txt,3,2,2,5,139,0.2205000000117252
